# output/curr_dump.csv run at 2018-03-01 00:00:00 PST on 230 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
line1to2,0.000000,0.000000,-1.081610,-1.403821,0.000000,0.000000
line1to3,0.000000,0.000000,0.000000,0.000000,-3.354517,8.206133
line1to7,54.470228,11.814332,-48.092174,-61.757964,-34.540937,86.313057
line3to4,0.000000,0.000000,0.000000,0.000000,-1.341223,3.282688
line3to5,0.000000,0.000000,0.000000,0.000000,-2.012847,4.923702
line5to6,0.000000,0.000000,0.000000,0.000000,-1.340956,3.283343
line7to8,52.715883,12.049964,-48.093016,-61.757385,-34.540162,86.313438
line8to12,0.000000,0.000000,-1.084228,-1.404278,0.000000,0.000000
line8to9,-57.153540,27.761264,0.000000,0.000000,0.000000,0.000000
line8to13,109.869511,-15.711931,-47.009348,-60.352720,-34.539645,86.313691
line901to14,-61.040050,28.412817,0.000000,0.000000,0.000000,0.000000
line13to34,0.000000,0.000000,0.000000,0.000000,-3.326454,8.232503
line13to18,43.045283,-6.035468,-15.800977,-20.330351,-10.301818,25.546032
line14to11,3.511078,-0.469425,0.000000,0.000000,0.000000,0.000000
line14to10,1.755156,-0.233071,0.000000,0.000000,0.000000,0.000000
line15to16,0.000000,0.000000,0.000000,0.000000,-1.329994,3.293725
line15to17,0.000000,0.000000,0.000000,0.000000,-0.666336,1.645620
line18to19,7.026757,-0.983524,0.000000,0.000000,0.000000,0.000000
line18to21,10.539714,-1.474501,-2.172528,-2.807680,-3.992442,9.880251
line19to20,3.513510,-0.491886,0.000000,0.000000,0.000000,0.000000
line21to22,0.000000,0.000000,-2.177002,-2.804672,0.000000,0.000000
line21to23,10.539630,-1.475518,0.003758,-0.002526,-3.991688,9.880833
line23to24,0.000000,0.000000,0.000000,0.000000,-1.329276,3.297641
line23to25,10.539559,-1.476365,0.003161,-0.002125,-2.661784,6.583677
line2501to26,3.513537,-0.492354,0.000000,0.000000,-1.338511,3.308399
line25to28,7.025945,-0.984943,0.002505,-0.001684,-1.330948,3.296489
line26to27,3.513387,-0.493248,0.000000,0.000000,-0.000557,-0.000447
line26to31,0.000000,0.000000,0.000000,0.000000,-1.337245,3.309414
line27to33,3.513269,-0.493951,0.000000,0.000000,0.000000,0.000000
line28to29,3.513052,-0.491509,0.002028,-0.001363,-1.330446,3.296876
line29to30,0.000156,0.001864,0.001312,-0.000882,-1.329692,3.297458
line30to250,0.000057,0.000678,0.000477,-0.000321,-0.000502,-0.000388
line31to32,0.000000,0.000000,0.000000,0.000000,-0.668664,1.654720
line34to15,0.000000,0.000000,0.000000,0.000000,-1.996509,4.939243
line35to36,3.513798,-0.491935,-2.174728,-2.805675,0.000000,0.000000
line35to40,18.451314,-2.595987,-11.456838,-14.715117,-6.306196,15.667820
line36to37,3.514057,-0.493600,0.000000,0.000000,0.000000,0.000000
line36to38,0.000000,0.000000,-2.176042,-2.804597,0.000000,0.000000
line38to39,0.000000,0.000000,-1.088015,-1.402341,0.000000,0.000000
line40to41,0.000000,0.000000,0.000000,0.000000,-0.665559,1.647486
line40to42,18.451420,-2.596775,-11.457536,-14.714633,-5.639991,14.020648
line42to43,0.000000,0.000000,-2.180017,-2.803545,0.000000,0.000000
line42to44,16.694732,-2.351394,-9.278218,-11.910603,-5.639345,14.020962
line44to45,3.514040,-0.492257,0.000000,0.000000,0.000000,0.000000
line44to47,13.180776,-1.859767,-9.278777,-11.910216,-5.638829,14.021213
line45to46,1.757051,-0.246072,0.000000,0.000000,0.000000,0.000000
line47to48,6.152475,-0.874955,-3.823841,-4.902894,-2.316804,5.777492
line47to49,4.392640,-0.614522,-3.820700,-4.904552,-2.325597,5.770819
line49to50,1.756875,-0.244053,0.003057,-0.001486,-1.329271,3.297763
line50to51,1.756916,-0.244770,0.002293,-0.001115,-0.002215,-0.000872
line51to151,-0.000081,0.001434,0.001528,-0.000743,-0.001477,-0.000581
line52to53,63.311718,-9.189246,-31.210331,-40.021016,-20.909564,52.536038
line53to54,59.798215,-8.697993,-31.210890,-40.020628,-20.909048,52.536289
line54to55,1.756494,-0.243639,-1.086798,-1.403380,-0.001421,-0.000689
line54to57,58.041774,-8.454747,-30.124441,-38.617007,-20.907304,52.537135
line55to56,-0.000117,0.000866,-1.087567,-1.402847,-0.000710,-0.000345
line57to58,0.000000,0.000000,-2.178743,-2.804931,0.000000,0.000000
line57to60,58.041703,-8.455750,-27.946727,-35.811654,-20.906228,52.537640
line58to59,0.000000,0.000000,-1.089418,-1.402468,0.000000,0.000000
line60to61,-0.000126,0.001862,0.001365,-0.001085,-0.001321,-0.000859
line60to62,6.154313,-0.862618,-5.455159,-7.020531,-5.943454,14.892731
line62to63,6.154274,-0.866449,-5.458461,-7.018597,-4.621633,11.587341
line63to64,2.637600,-0.362520,-5.460772,-7.017244,-4.619303,11.588651
line64to65,2.637545,-0.367884,-1.629887,-2.109303,-4.614645,11.591269
line65to66,0.000052,0.004979,0.004291,-0.002512,-2.306718,5.796473
line67to68,10.228836,-1.495736,0.000000,0.000000,0.000000,0.000000
line67to72,22.165005,-3.256234,-15.824059,-20.233112,-9.983793,25.153664
line67to97,15.348766,-2.244768,-6.532339,-8.376513,-4.521118,11.352820
line68to69,8.524520,-1.247785,0.000000,0.000000,0.000000,0.000000
line69to70,5.114881,-0.748483,0.000000,0.000000,0.000000,0.000000
line70to71,3.410160,-0.500150,0.000000,0.000000,0.000000,0.000000
line72to73,0.000000,0.000000,0.000000,0.000000,-3.861360,9.738971
line72to76,22.164942,-3.257056,-15.824876,-20.232776,-6.121566,15.415104
line73to74,0.000000,0.000000,0.000000,0.000000,-2.573975,6.493311
line74to75,0.000000,0.000000,0.000000,0.000000,-1.286904,3.246874
line76to77,6.817777,-0.995281,-4.359924,-5.584504,-2.579597,6.490179
