# output/volt_dump.csv run at 2018-03-01 00:00:00 PST on 578 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
node_3,0.000000,0.000000,0.000000,0.000000,-1192.983587,2079.946397
node_8,2402.372405,-5.309764,-1201.175622,-2071.241593,-1185.608777,2080.681068
node_13,2399.438917,-9.753654,-1202.557233,-2069.777827,-1181.812336,2079.915494
node_14,2401.777100,0.000000,0.000000,0.000000,0.000000,0.000000
substation_meter,2401.777100,0.000000,0.000000,0.000000,0.000000,0.000000
node_15,0.000000,0.000000,0.000000,0.000000,-1181.195272,2079.658566
node_18,2396.609700,-14.630480,-1204.479805,-2068.375702,-1179.138564,2078.035089
node_21,2396.511359,-15.115321,-1204.471936,-2068.409912,-1178.607458,2077.807396
node_23,2396.469358,-15.583992,-1204.371484,-2068.609472,-1178.129567,2077.557561
node_25,2396.326172,-16.107465,-1204.337704,-2068.829261,-1177.820720,2077.286661
node_26,2396.282082,-16.343065,0.000000,0.000000,-1170.232995,2064.211913
node_27,2396.170639,-16.528563,0.000000,0.000000,-1170.270983,2064.145441
node_36,2395.270388,-16.113091,-1205.430378,-2067.167966,0.000000,0.000000
node_40,2395.159737,-16.334298,-1205.410025,-2066.971464,-1178.046379,2078.028078
node_44,2394.339366,-17.231748,-1205.955086,-2066.206464,-1177.209672,2078.001465
node_54,2395.115981,-15.725047,-1204.834265,-2066.896938,-1176.314640,2079.105422
node_57,2393.759037,-18.365798,-1205.523202,-2064.815766,-1173.835740,2078.792572
node_61,2390.957079,-24.204789,-1206.711481,-2060.871972,-1168.372203,2077.904685
node_67,2508.908632,-27.572933,-1215.093989,-2072.801310,-1203.095993,2142.520579
node_72,2508.553280,-28.231922,-1215.357070,-2071.792424,-1202.134546,2142.569814
node_78,2507.811583,-29.107402,-1215.930777,-2070.765779,-1201.401238,2142.599485
node_81,2507.859506,-29.590935,-1215.675378,-2070.725028,-1200.147475,2142.454578
node_89,2506.774494,-29.240309,-1217.279041,-2068.765469,-1201.954439,2143.151081
node_91,2506.701568,-29.322132,-1217.326427,-2068.680689,-1201.848047,2143.151308
node_93,2506.566975,-29.403832,-1217.441044,-2068.597282,-1201.914240,2143.156916
node_97,2508.616400,-28.112222,-1215.229432,-2072.526266,-1202.743263,2142.420045
node_101,2508.383406,-28.551305,-1215.321715,-2072.370926,-1202.494574,2142.318755
node_105,2507.922103,-29.039335,-1215.661920,-2072.218360,-1202.741989,2142.229281
node_108,2507.467907,-29.772187,-1215.816484,-2072.484738,-1202.903929,2141.935192
node_110,2505.173365,-31.502271,0.000000,0.000000,0.000000,0.000000
node_135,2396.608605,-14.629027,-1204.478247,-2068.375508,-1179.139032,2078.033990
node_149,2401.767856,0.001198,-1200.878026,-2079.992984,-1200.887601,2079.983927
node_150,2401.777120,0.000000,-1200.888560,-2080.000000,-1200.888560,2080.000000
node_151,2393.934577,-17.815636,-1206.157373,-2065.606620,-1176.302433,2078.008978
node_152,2399.436059,-9.749829,-1202.553671,-2069.777387,-1181.813918,2079.911821
node_160,2390.954882,-24.201886,-1206.708867,-2060.871628,-1168.373331,2077.901992
node_197,2508.615891,-28.111537,-1215.228935,-2072.526204,-1202.743507,2142.419478
node_250,2396.340098,-16.540684,-1204.202011,-2069.015521,-1177.255952,2077.051038
node_300,2507.468098,-29.772283,-1215.816656,-2072.484868,-1202.903923,2141.935395
node_450,2508.728198,-28.084599,-1215.191809,-2071.994404,-1202.095198,2142.553548
node_610,275.879663,-2.792860,-139.235940,-237.792920,-134.812177,239.758233
node_901,2392.164809,-3.580709,0.000000,0.000000,0.000000,0.000000
node_2501,2396.325820,-16.107416,0.000000,0.000000,-1170.459206,2064.303288
node_6101,2390.957079,-24.204789,-1206.711481,-2060.871972,-1168.372203,2077.904685
node_15001,2401.771322,-0.001134,-1200.883643,-2079.993684,-1200.884770,2079.990548
node_16001,2510.497852,-25.411281,-1214.248562,-2073.749214,-1204.883547,2142.832778
load_1,2402.061784,-2.506027,-1200.922022,-2076.108175,-1193.718259,2080.248850
load_2,0.000000,0.000000,-1200.937057,-2075.998022,0.000000,0.000000
load_4,0.000000,0.000000,0.000000,0.000000,-1192.748512,2079.849564
load_5,0.000000,0.000000,0.000000,0.000000,-1192.410536,2079.710474
load_6,0.000000,0.000000,0.000000,0.000000,-1192.116668,2079.589370
load_7,2402.224128,-4.228801,-1201.083108,-2073.207397,-1188.860760,2080.493669
load_9,2407.203728,-3.600370,0.000000,0.000000,0.000000,0.000000
load_10,2401.651753,-0.097297,0.000000,0.000000,0.000000,0.000000
load_11,2401.526164,-0.194452,0.000000,0.000000,0.000000,0.000000
load_12,0.000000,0.000000,-1201.194827,-2071.099791,0.000000,0.000000
load_16,0.000000,0.000000,0.000000,0.000000,-1180.754515,2079.474863
load_17,0.000000,0.000000,0.000000,0.000000,-1180.989584,2079.573047
load_19,2396.104705,-15.016881,0.000000,0.000000,0.000000,0.000000
load_20,2395.776421,-15.268026,0.000000,0.000000,0.000000,0.000000
load_22,0.000000,0.000000,-1204.559896,-2067.747530,0.000000,0.000000
load_24,0.000000,0.000000,0.000000,0.000000,-1177.482684,2077.287454
load_28,2396.233337,-16.363219,-1204.339861,-2068.935941,-1177.723298,2077.156146
load_29,2396.216622,-16.550727,-1204.299642,-2069.015821,-1177.531951,2077.056095
load_30,2396.340091,-16.540679,-1204.202004,-2069.015516,-1177.255951,2077.051030
load_31,0.000000,0.000000,0.000000,0.000000,-1169.967227,2064.101231
load_32,0.000000,0.000000,0.000000,0.000000,-1169.790049,2064.027426
load_33,2395.665330,-16.914626,0.000000,0.000000,0.000000,0.000000
load_34,0.000000,0.000000,0.000000,0.000000,-1181.371582,2079.731958
load_35,2395.625543,-15.830588,-1205.096413,-2067.455348,-1178.583425,2078.029940
load_37,2394.967186,-16.344831,0.000000,0.000000,0.000000,0.000000
load_38,0.000000,0.000000,-1205.472344,-2066.852619,0.000000,0.000000
load_39,0.000000,0.000000,-1205.499602,-2066.647634,0.000000,0.000000
load_41,0.000000,0.000000,0.000000,0.000000,-1177.855291,2077.948454
load_42,2394.659041,-16.838155,-1205.761643,-2066.488592,-1177.606956,2078.028624
load_43,0.000000,0.000000,-1205.844895,-2065.857511,0.000000,0.000000
load_45,2394.137305,-17.386313,0.000000,0.000000,0.000000,0.000000
load_46,2393.985747,-17.502228,0.000000,0.000000,0.000000,0.000000
load_47,2394.041005,-17.555023,-1206.159231,-2065.773957,-1176.678556,2078.027963
load_48,2393.965306,-17.661536,-1206.200075,-2065.657791,-1176.560828,2078.036568
load_49,2393.966307,-17.649328,-1206.209155,-2065.546853,-1176.465019,2078.073014
load_50,2393.985313,-17.732377,-1206.139175,-2065.573156,-1176.285164,2078.039100
load_51,2393.934529,-17.815615,-1206.157329,-2065.606591,-1176.302433,2078.008930
load_52,2396.952166,-13.214050,-1203.849275,-2068.267464,-1178.814060,2079.406887
load_53,2395.791064,-14.811186,-1204.467005,-2067.448629,-1177.286571,2079.202770
load_55,2395.032583,-15.778029,-1204.905090,-2066.847372,-1176.355592,2079.107764
load_56,2395.004796,-15.738208,-1204.955209,-2066.753883,-1176.377578,2079.143334
load_58,0.000000,0.000000,-1205.565019,-2064.500225,0.000000,0.000000
load_59,0.000000,0.000000,-1205.585913,-2064.342449,0.000000,0.000000
load_60,2390.957021,-24.204760,-1206.711431,-2060.871942,-1168.372197,2077.904622
load_62,2390.650829,-24.364553,-1206.514856,-2060.504459,-1167.679633,2077.199293
load_63,2390.431919,-24.449898,-1206.387627,-2060.218380,-1167.301417,2076.831778
load_64,2390.318531,-24.561871,-1206.072504,-2059.656858,-1166.495010,2076.078048
load_65,2390.097195,-24.797543,-1205.934592,-2059.617532,-1165.599570,2075.062109
load_66,2390.111882,-24.883620,-1205.900743,-2059.711479,-1165.253423,2074.650673
load_68,2508.317277,-28.019704,0.000000,0.000000,0.000000,0.000000
load_69,2507.639547,-28.531564,0.000000,0.000000,0.000000,0.000000
load_70,2507.158962,-28.894533,0.000000,0.000000,0.000000,0.000000
load_71,2506.887761,-29.099218,0.000000,0.000000,0.000000,0.000000
load_73,0.000000,0.000000,0.000000,0.000000,-1201.183745,2142.166569
load_74,0.000000,0.000000,0.000000,0.000000,-1200.376974,2141.824318
load_75,0.000000,0.000000,0.000000,0.000000,-1199.915957,2141.628683
load_76,2508.115427,-28.714855,-1215.756265,-2071.074524,-1201.890238,2142.624432
load_77,2507.856311,-29.005711,-1215.924758,-2070.773138,-1201.511722,2142.625174
load_79,2507.722108,-29.254268,-1215.964151,-2070.835343,-1201.431754,2142.546845
load_80,2507.787943,-29.280352,-1215.888844,-2070.583932,-1200.812013,2142.588511
load_82,2507.794336,-29.754168,-1215.675135,-2070.801552,-1200.085505,2142.393132
load_83,2507.828600,-29.754233,-1215.637782,-2070.800786,-1199.989616,2142.390153
load_84,0.000000,0.000000,0.000000,0.000000,-1198.980547,2141.959303
load_85,0.000000,0.000000,0.000000,0.000000,-1198.433120,2141.726665
load_86,2507.423845,-29.023622,-1216.635901,-2069.698927,-1202.050121,2142.951388
load_87,2506.918719,-29.220064,-1217.121962,-2069.056202,-1202.040919,2143.079588
load_88,2506.746112,-29.350300,0.000000,0.000000,0.000000,0.000000
load_90,0.000000,0.000000,-1217.315361,-2068.481963,0.000000,0.000000
load_92,0.000000,0.000000,0.000000,0.000000,-1201.502425,2143.004738
load_94,2506.457563,-29.583379,-1217.481860,-2068.682328,-1201.951557,2143.092565
load_95,2506.506827,-29.316874,-1217.549298,-2068.393274,-1201.961785,2143.234545
load_96,0.000000,0.000000,-1217.565514,-2068.267316,0.000000,0.000000
load_98,2508.550638,-28.221675,-1215.276324,-2072.394495,-1202.629088,2142.420210
load_99,2508.638298,-28.086340,-1215.295505,-2072.002190,-1202.322594,2142.562667
load_100,2508.728075,-28.084538,-1215.191699,-2071.994320,-1202.095201,2142.553419
load_102,0.000000,0.000000,0.000000,0.000000,-1201.846229,2142.044113
load_103,0.000000,0.000000,0.000000,0.000000,-1201.097017,2141.726557
load_104,0.000000,0.000000,0.000000,0.000000,-1200.290148,2141.384416
load_106,0.000000,0.000000,-1215.735240,-2071.651700,0.000000,0.000000
